TagName,TagValue,TagQuality
ERMISC.STN.PARM.DATE,290425,0
ERMISC.STN.PARM.TIME,105300,0
ERMISC.STN.PARM.FREQ,50.00,1
ER_DW_SC.STN.MW.BSE,3616.98999,1
ER_DW_SC.STN.MW.JH,1309.109985,1
ER_DW_SC.STN.MW.OPT,1689.709961,1
ER_DW_SC.STN.MW.SK,71.519997,1
ER_DW_SC.STN.MW.WBS,3075.340088,1
ER_DW_SC.STN.MW.DVC,-451.980011,1
ER_AT_SC.STN.MW.BSE,3646.690918,1
ER_AT_SC.STN.MW.JH,1219.581177,1
ER_AT_SC.STN.MW.OPT,1589.491333,1
ER_AT_SC.STN.MW.SK,90.678619,1
ER_AT_SC.STN.MW.WBS,3112.808838,1
ER_AT_SC.STN.MW.DVC,-331.392181,1
ER_GEN.STN.MW.BSE,266.727539,1
ER_GEN.STN.MW.JH,206.410583,1
ER_GEN.STN.MW.OPT,3328.799805,1
ER_GEN.STN.MW.SK,#N/A,0
ER_GEN.STN.MW.WBS,5125.526367,1
ER_GEN.STN.MW.DVC,3271.026611,1
ER_ISGS_ACT.STN.MW.FKK,1188.440674,0
ER_ISGS_ACT.STN.MW.KHG,1233.268555,1
ER_ISGS_ACT.STN.MW.TAL,566.428101,1
ER_ISGS_ACT.STN.MW.CKA,46.12035,1
ER_ISGS_ACT.STN.MW.RNG,25.811823,1
ER_ISGS_SCH.STN.MW.FKK,1082.23999,1
ER_ISGS_SCH.STN.MW.KHG,1197.97998,1
ER_ISGS_SCH.STN.MW.TAL,934.5,1
ER_ISGS_SCH.STN.MW.CKA,622.049988,1
ER_ISGS_SCH.STN.MW.RNG,36,1
ER_GEN_U.STN.MW.FKK1,186,0
ER_GEN_U.STN.MW.FKK2,190,0
ER_GEN_U.STN.MW.FKK3,0,0
ER_GEN_U.STN.MW.FKK4,470,0
ER_GEN_U.STN.MW.FKK5,470,0
ER_GEN_U.STN.MW.KHG1,107.807816,1
ER_GEN_U.STN.MW.KHG2,117.494331,1
ER_GEN_U.STN.MW.KHG3,122.816605,1
ER_GEN_U.STN.MW.KHG4,128.969147,1
ER_GEN_U.STN.MW.TAL1_1,285.59964,1
ER_GEN_U.STN.MW.TAL1_2,259.348969,1
ER_GEN_U.STN.MW.TAL1_3,267.467743,1
ER_GEN_U.STN.MW.TAL1_4,253.034378,1
ER_GEN_U.STN.MW.TAL1_5,457.897522,0
ER_GEN_U.STN.MW.TAL1_6,277.480804,1
ER_GEN_U.STN.MW.CKA1,0,0
ER_GEN_U.STN.MW.CKA2,0,0
ER_GEN_U.STN.MW.CKA3,0,0
ER_GEN_U.STN.MW.CKA4,-9.980082,0
ER_GEN_U.STN.MW.RNG1,0,0
ER_GEN_U.STN.MW.RNG2,18.44364,0
ER_GEN_U.STN.MW.RNG3,0,0
ER_GEN_U.STN.MW.TNG1,416.966919,1
ER_GEN_U.STN.MW.TNG2,0,0
ER_GEN_U.STN.MW.BKA1,#N/A,0
ER_GEN_U.STN.MW.BKA2,#N/A,0
ER_GEN_U.STN.MW.BKA3,#N/A,0
ER_GEN_U.STN.MW.BKA4,#N/A,0
ER_GEN_U.STN.MW.BKB1,#N/A,#N/A
ER_GEN_U.STN.MW.BKB2,#N/A,#N/A
ER_GEN_U.STN.MW.BKB3,#N/A,#N/A
ER_GEN_U.STN.MW.CHD1,#N/A,#N/A
ER_GEN_U.STN.MW.CHD2,#N/A,#N/A
ER_GEN_U.STN.MW.CHD3,#N/A,#N/A
ER_GEN_U.STN.MW.CHD4,#N/A,#N/A
ER_GEN_U.STN.MW.CHD5,#N/A,#N/A
ER_GEN_U.STN.MW.CHD6,#N/A,#N/A
ER_GEN_U.STN.MW.MJA1,#N/A,#N/A
ER_GEN_U.STN.MW.MJA2,#N/A,#N/A
ER_GEN_U.STN.MW.MJA3,#N/A,#N/A
ER_GEN_U.STN.MW.MJA4,#N/A,#N/A
ER_GEN_U.STN.MW.DGP1,#N/A,#N/A
ER_GEN_U.STN.MW.DGP2,#N/A,#N/A
ER_GEN_U.STN.MW.MTG1,#N/A,0
